NumberOfBoxes,SolverIterations,StackHeightMultiplier,SleepThreshold,FramesToSleep,FramesToCollapse,AmountThatSlept,SimulationTime
16,6,1,0.005,0,384,0,0.000393
17,6,1,0.005,0,402.5,0,0.000339
18,6,1,0.005,0,348,0,0.000406
19,6,1,0.005,0,390,0,0.000424
20,6,1,0.005,0,276,0,0.000451
16,10,1,0.005,0,562,0,0.000364
17,10,1,0.005,333,0,1,0.000376
18,10,1,0.005,248,546,0.5,0.000409
19,10,1,0.005,0,494,0,0.000396
20,10,1,0.005,0,384.5,0,0.000387
16,14,1,0.005,1001,0,1,0.000377
17,14,1,0.005,0,610,0,0.000352
18,14,1,0.005,0,690,0,0.000362
19,14,1,0.005,191.5,0,1,0.000364
20,14,1,0.005,0,603,0,0.000384
16,6,1.01,0.005,0,415,0,0.000346
17,6,1.01,0.005,0,338.5,0,0.000405
18,6,1.01,0.005,0,337,0,0.000426
19,6,1.01,0.005,0,366.5,0,0.000403
20,6,1.01,0.005,0,314,0,0.000395
16,10,1.01,0.005,0,560.5,0,0.000359
17,10,1.01,0.005,0,806.5,0,0.000375
18,10,1.01,0.005,0,550,0,0.000363
19,10,1.01,0.005,0,574,0,0.000369
20,10,1.01,0.005,0,442,0,0.000378
16,14,1.01,0.005,1001,0,1,0.000373
17,14,1.01,0.005,1001,643,0.5,0.000362
18,14,1.01,0.005,0,613.5,0,0.000401
19,14,1.01,0.005,0,621.5,0,0.000368
20,14,1.01,0.005,0,476.5,0,0.000382
16,6,1.02,0.005,0,432,0,0.00035
17,6,1.02,0.005,0,386.5,0,0.000347
18,6,1.02,0.005,0,413,0,0.000398
19,6,1.02,0.005,0,380,0,0.000389
20,6,1.02,0.005,0,337,0,0.000388
16,10,1.02,0.005,0,628,0,0.000358
17,10,1.02,0.005,0,661.5,0,0.000383
18,10,1.02,0.005,0,537.5,0,0.000376
19,10,1.02,0.005,0,495,0,0.000373
20,10,1.02,0.005,0,496.5,0,0.000383
16,14,1.02,0.005,1001,0,1,0.000361
17,14,1.02,0.005,1001,0,1,0.000365
18,14,1.02,0.005,1001,765,0.5,0.000364
19,14,1.02,0.005,0,751.5,0,0.00037
20,14,1.02,0.005,0,457,0,0.000376
16,6,1,0.01,0,425,0,0.000332
17,6,1,0.01,0,404,0,0.000378
18,6,1,0.01,0,343,0,0.000364
19,6,1,0.01,0,373.5,0,0.000361
20,6,1,0.01,0,358.5,0,0.000373
16,10,1,0.01,1001,488,0.5,0.000373
17,10,1,0.01,0,460,0,0.000373
18,10,1,0.01,0,459.5,0,0.000369
19,10,1,0.01,0,524,0,0.00037
20,10,1,0.01,0,543,0,0.000386
16,14,1,0.01,0,838,0,0.00036
17,14,1,0.01,360,0,1,0.000395
18,14,1,0.01,0,860,0,0.000389
19,14,1,0.01,188,507,0.5,0.00045
20,14,1,0.01,736,0,1,0.000411
16,6,1.01,0.01,0,346,0,0.000411
17,6,1.01,0.01,0,401,0,0.000393
18,6,1.01,0.01,0,389,0,0.000392
19,6,1.01,0.01,0,369,0,0.000461
20,6,1.01,0.01,0,310,0,0.000454
16,10,1.01,0.01,0,867,0,0.00039
17,10,1.01,0.01,0,486.5,0,0.000426
18,10,1.01,0.01,0,732.5,0,0.000408
19,10,1.01,0.01,0,498.5,0,0.000441
20,10,1.01,0.01,0,517.5,0,0.000412
16,14,1.01,0.01,1001,0,1,0.000387
17,14,1.01,0.01,1001,0,1,0.000412
18,14,1.01,0.01,1001,823,0.5,0.000395
19,14,1.01,0.01,1001,945,0.5,0.000392
20,14,1.01,0.01,1001,826,0.5,0.000418
16,6,1.02,0.01,0,405.5,0,0.000371
17,6,1.02,0.01,0,398.5,0,0.000437
18,6,1.02,0.01,0,375,0,0.000418
19,6,1.02,0.01,0,439,0,0.000399
20,6,1.02,0.01,0,305.5,0,0.000373
16,10,1.02,0.01,0,651.5,0,0.000326
17,10,1.02,0.01,0,564,0,0.000341
18,10,1.02,0.01,0,485.5,0,0.000431
19,10,1.02,0.01,0,521.5,0,0.000385
20,10,1.02,0.01,0,494.5,0,0.000406
16,14,1.02,0.01,1001,0,1,0.000374
17,14,1.02,0.01,1001,0,1,0.000394
18,14,1.02,0.01,0,714.5,0,0.000384
19,14,1.02,0.01,0,656,0,0.00039
20,14,1.02,0.01,0,274.5,0,0.000394
16,6,1,0.015,0,367,0,0.000391
17,6,1,0.015,0,403,0,0.000356
18,6,1,0.015,0,348,0,0.000371
19,6,1,0.015,0,378,0,0.000371
20,6,1,0.015,0,293,0,0.000377
16,10,1,0.015,0,562,0,0.000329
17,10,1,0.015,335.5,0,1,0.000352
18,10,1,0.015,0,486.5,0,0.000374
19,10,1,0.015,0,494,0,0.000371
20,10,1,0.015,0,373,0,0.000446
16,14,1,0.015,1001,0,1,0.000391
17,14,1,0.015,363,610,0.5,0.000387
18,14,1,0.015,0,533,0,0.000378
19,14,1,0.015,192,465,0.5,0.000377
20,14,1,0.015,0,603,0,0.00039
16,6,1.01,0.015,0,415,0,0.000356
17,6,1.01,0.015,0,338.5,0,0.000365
18,6,1.01,0.015,0,337,0,0.000364
19,6,1.01,0.015,0,366.5,0,0.000434
20,6,1.01,0.015,0,314,0,0.000409
16,10,1.01,0.015,0,560.5,0,0.000391
17,10,1.01,0.015,0,806.5,0,0.000392
18,10,1.01,0.015,0,550,0,0.000383
19,10,1.01,0.015,0,574,0,0.000379
20,10,1.01,0.015,0,442,0,0.000429
16,14,1.01,0.015,1001,0,1,0.000362
17,14,1.01,0.015,1001,643,0.5,0.000365
18,14,1.01,0.015,0,613.5,0,0.000376
19,14,1.01,0.015,0,621.5,0,0.00038
20,14,1.01,0.015,0,476.5,0,0.000388
16,6,1.02,0.015,0,432,0,0.000401
17,6,1.02,0.015,0,386.5,0,0.000348
18,6,1.02,0.015,0,413,0,0.00032
19,6,1.02,0.015,0,380,0,0.000314
20,6,1.02,0.015,0,337,0,0.000374
16,10,1.02,0.015,0,628,0,0.000367
17,10,1.02,0.015,0,661.5,0,0.00043
18,10,1.02,0.015,0,537.5,0,0.000381
19,10,1.02,0.015,0,495.5,0,0.000421
20,10,1.02,0.015,0,496.5,0,0.000398
16,14,1.02,0.015,1001,0,1,0.000393
17,14,1.02,0.015,1001,0,1,0.000385
18,14,1.02,0.015,1001,765,0.5,0.000385
19,14,1.02,0.015,0,751.5,0,0.000428
20,14,1.02,0.015,0,457,0,0.000359
16,6,1,0.02,0,412,0,0.000368
17,6,1,0.02,0,399.5,0,0.000373
18,6,1,0.02,0,343,0,0.00039
19,6,1,0.02,0,387.5,0,0.000456
20,6,1,0.02,0,272,0,0.0004
16,10,1,0.02,1001,488,0.5,0.000394
17,10,1,0.02,323,0,1,0.00042
18,10,1,0.02,0,459.5,0,0.00041
19,10,1,0.02,0,482.5,0,0.00042
20,10,1,0.02,0,543,0,0.000449
16,14,1,0.02,1001,822,0.5,0.00042
17,14,1,0.02,360,0,1,0.000417
18,14,1,0.02,425,860,0.5,0.000424
19,14,1,0.02,187,503,0.5,0.000415
20,14,1,0.02,0,388,0,0.000417
16,6,1.01,0.02,0,346,0,0.000422
17,6,1.01,0.02,0,401,0,0.000449
18,6,1.01,0.02,0,389,0,0.00043
19,6,1.01,0.02,0,369,0,0.000439
20,6,1.01,0.02,0,310,0,0.00045
16,10,1.01,0.02,0,867,0,0.000437
17,10,1.01,0.02,0,486.5,0,0.000424
18,10,1.01,0.02,0,732.5,0,0.000431
19,10,1.01,0.02,0,498.5,0,0.00041
20,10,1.01,0.02,0,517.5,0,0.000434
16,14,1.01,0.02,1001,0,1,0.000414
17,14,1.01,0.02,1001,0,1,0.000407
18,14,1.01,0.02,1001,253,0.5,0.000441
19,14,1.01,0.02,1001,808,0.5,0.000431
20,14,1.01,0.02,0,800.5,0,0.000425
16,6,1.02,0.02,0,405.5,0,0.000396
17,6,1.02,0.02,0,398.5,0,0.000422
18,6,1.02,0.02,0,375,0,0.000391
19,6,1.02,0.02,0,439,0,0.000471
20,6,1.02,0.02,0,305.5,0,0.000415
16,10,1.02,0.02,0,651.5,0,0.000398
17,10,1.02,0.02,0,568,0,0.000394
18,10,1.02,0.02,0,499,0,0.000457
19,10,1.02,0.02,0,510,0,0.000418
20,10,1.02,0.02,0,489.5,0,0.00044
16,14,1.02,0.02,1001,0,1,0.000412
17,14,1.02,0.02,1001,0,1,0.000421
18,14,1.02,0.02,0,657.5,0,0.000409
19,14,1.02,0.02,0,696.5,0,0.000389
20,14,1.02,0.02,0,277,0,0.000396
16,6,1,0.025,0,367,0,0.000371
17,6,1,0.025,0,403,0,0.00036
18,6,1,0.025,0,348,0,0.000403
19,6,1,0.025,0,378,0,0.000378
20,6,1,0.025,0,293,0,0.000396
16,10,1,0.025,0,562,0,0.000372
17,10,1,0.025,333,0,1,0.000421
18,10,1,0.025,248,546,0.5,0.000393
19,10,1,0.025,0,593,0,0.000381
20,10,1,0.025,0,441,0,0.000428
16,14,1,0.025,1001,0,1,0.000395
17,14,1,0.025,363,0,1,0.000388
18,14,1,0.025,0,533,0,0.000376
19,14,1,0.025,191,470,0.5,0.000397
20,14,1,0.025,0,426,0,0.000473
16,6,1.01,0.025,0,415,0,0.000397
17,6,1.01,0.025,0,338.5,0,0.000415
18,6,1.01,0.025,0,337,0,0.00043
19,6,1.01,0.025,0,366,0,0.00045
20,6,1.01,0.025,0,313.5,0,0.000421
16,10,1.01,0.025,0,592,0,0.0004
17,10,1.01,0.025,0,813,0,0.000433
18,10,1.01,0.025,0,548,0,0.000429
19,10,1.01,0.025,0,560.5,0,0.000392
20,10,1.01,0.025,0,440,0,0.000437
16,14,1.01,0.025,1001,0,1,0.000381
17,14,1.01,0.025,1001,634,0.5,0.000403
18,14,1.01,0.025,1001,0,1,0.000405
19,14,1.01,0.025,0,605.5,0,0.00039
20,14,1.01,0.025,0,473,0,0.000419
16,6,1.02,0.025,0,432,0,0.000369
17,6,1.02,0.025,0,386.5,0,0.000366
18,6,1.02,0.025,0,413,0,0.000396
19,6,1.02,0.025,0,381,0,0.000391
20,6,1.02,0.025,0,337,0,0.000378
16,10,1.02,0.025,0,639,0,0.000367
17,10,1.02,0.025,0,645.5,0,0.000403
18,10,1.02,0.025,0,555.5,0,0.000385
19,10,1.02,0.025,0,522,0,0.000423
20,10,1.02,0.025,0,471,0,0.000421
16,14,1.02,0.025,1001,0,1,0.000371
17,14,1.02,0.025,0,924,0,0.000373
18,14,1.02,0.025,1001,819,0.5,0.00038
19,14,1.02,0.025,0,778.5,0,0.000405
20,14,1.02,0.025,0,566.5,0,0.000396
16,6,1,0.03,0,425,0,0.000363
17,6,1,0.03,0,391.5,0,0.000363
18,6,1,0.03,0,391.5,0,0.000416
19,6,1,0.03,0,333.5,0,0.000382
20,6,1,0.03,0,360.5,0,0.000387
16,10,1,0.03,0,476,0,0.000365
17,10,1,0.03,323,0,1,0.000358
18,10,1,0.03,0,457,0,0.000375
19,10,1,0.03,0,482.5,0,0.000419
20,10,1,0.03,0,410,0,0.000399
